Unnamed: 0;Autor;Titel;Seite;Passage;Aussage;Code des Typs;Annotator/in;E1;Relation;E2;Anmerkung;POST
0;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;196;Im Verlauf des 18. Jh.s, das mit einer <e1>Revolution</e1><rel>von welthistorischer Bedeutung und internationaler Strahlkraft endet, spricht man in Frankreich auffällig häufig von ›Revolution‹, ein Modebegriff für Umwälzungen aller Art, abgeleitet aus der</rel> <e2>KopernikanischenAstronomie</e2>.;Revolution IsRelatedTo Kopernikanische Astronomie;IsRelatedTo;SH;Revolution;von welthistorischer Bedeutung und internationaler Strahlkraft endet, spricht man in Frankreich auffällig häufig von ›Revolution‹, ein Modebegriff für Umwälzungen aller Art, abgeleitet aus der ;Kopernikanischen Astronomie;;
1;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;197;Stärker als im deutschen und angelsächsischen Raum ist die aufklärerische Kritik in Frankreich antiklerikal ausgerichtet, selbst wenn sich unter den ›philosophes‹ zahlreiche Geistliche befinden.;Philosophes InstanceOf/DescribedAs Geistliche;Instance Of od. describedAs?;SH;;;;;ND
2;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;197;Die kirchliche und staatliche Repression gegenüber den Hugenotten ist in den öffentlichen Debatten ebenso präsent wie die Auseinandersetzung zwischen Jansenisten und Jesuiten.;[Hugenotten HasGenericCharacteristic? (kirchliche und staatliche) Repression];HasGenericCharacteristic;SH;;;;;ND
3;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;197;Die kirchliche und staatliche Repression gegenüber den Hugenotten ist in den öffentlichen Debatten ebenso präsent wie die Auseinandersetzung zwischen <e1>Jansenisten</e1><rel>und </rel><e2>Jesuiten</e2>.;Jansenisten IsRelatedTo Jesuiten;IsRelatedTo;SH;Jansenisten;und ;Jesuiten;;RSU
4;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;197;"Vor allem in der zweiten Jahrhunderthälfte formiert sich eine erhebliche Opposition, die Gegenaufklärung (<e1>Charles Palissot</e1><rel> </rel><e2>Les philosophes</e2>, 1760; Élie Catherine Fréron; Nicolas-Sylvestre Bergier).";Charles Palissot author Les philosophes;author;SH;Charles Palissot; ;Les philosophes;;RTS
5;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;197;"Vor allem in der zweiten Jahrhunderthälfte formiert sich eine erhebliche Opposition, die Gegenaufklärung (Charles Palissot, <e1>Les philosophes</e1><rel> </rel><e2>1760</e2>; Élie Catherine Fréron; Nicolas-Sylvestre Bergier).";Les philosophes date of publication 1760;date of publication;SH;Les philosophes; ;1760;;RTS
6;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;197;"Vor allem in der zweiten Jahrhunderthälfte formiert sich eine erhebliche Opposition, die Gegenaufklärung (<e1>Charles Palissot</e1>, Les philosophes, 1760; Élie Catherine Fréron; Nicolas-Sylvestre Bergier).";Charles Palissot political ideology „Gegenaufklärung“;ideology;SH;Charles Palissot;;Not Found;;RTS
7;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;197;"Vor allem in der zweiten Jahrhunderthälfte formiert sich eine erhebliche Opposition, die <e2>Gegenaufklärung</e2> <rel>(Charles Palissot, Les philosophes, 1760;</rel> <e1>Élie Catherine Fréron</e1>; Nicolas-Sylvestre Bergier).";Élie Catherine Fréron political ideology „Gegenaufklärung“;ideology;SH;Élie Catherine Fréron;"(Charles Palissot, Les philosophes, 1760;";Gegenaufklärung;;RSU
8;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;197;"Vor allem in der zweiten Jahrhunderthälfte formiert sich eine erhebliche Opposition, die <e2>Gegenaufklärung</e2> <rel>(Charles Palissot, Les philosophes, 1760; Élie Catherine Fréron;</rel> <e1>Nicolas-Sylvestre Bergier</e1>).";Nicolas-Sylvestre Bergier political ideology „Gegenaufklärung“;ideology;SH;Nicolas-Sylvestre Bergier;"(Charles Palissot, Les philosophes, 1760; Élie Catherine Fréron;";Gegenaufklärung;;RSU
9;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;197;"Vor allem in der zweiten Jahrhunderthälfte formiert sich eine erhebliche Opposition, die Gegenaufklärung (<e1>Charles Palissot</e1><rel> Les philosophes, 1760; </rel><e2>Élie Catherine Fréron</e2>; Nicolas-Sylvestre Bergier).";Charles Palissot IsRelatedTo Élie Catherine Fréron;IsRelatedTo;SH;Charles Palissot;" Les philosophes, 1760; ";Élie Catherine Fréron;;RSU
