Autor;Titel;Passage;Aussage;Code des Typs;E1;Relation;E2;POST;Seite;Annotator/in;Nr
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;<e1>Fontenelle</e1><rel>16571757 1688 verfassen Digression sur les anciens et les modern Überlegung Perraults weiterentwickel erstmals linear </rel><e2>fortschrittsorientiertes Geschichtsbewußtsein</e2> vertreten greifen 1742 publizieren Réflexions sur la poétique Regel doctrine classique;Bernard le Bovier de Fontenelle topicInterest Fortschritt;topicInterest;Fontenelle;16571757 1688 verfassen Digression sur les anciens et les modern Überlegung Perraults weiterentwickel erstmals linear;fortschrittsorientiertes Geschichtsbewußtsein;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Fontenelle 16571757 1688 verfassen <e1>Digression sur les anciens et les modernes</e1><rel> Überlegung Perraults weiterentwickel erstmals linear </rel><e2>fortschrittsorientiertes Geschichtsbewußtsein</e2> vertreten greifen 1742 publizieren Réflexions sur la poétique Regel doctrine classique;Digression sur les anciens et les modernes about Fortschritt;about;Digression sur les anciens et les modern;Überlegung Perraults weiterentwickel erstmals linear;fortschrittsorientiertes Geschichtsbewußtsein;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;<e1>Fontenelle</e1><rel>16571757 1688 verfassen Digression sur les anciens et les modern Überlegung Perraults weiterentwickel erstmals linear fortschrittsorientiertes </rel><e2>Geschichtsbewußtsein</e2> vertreten greifen 1742 publizieren Réflexions sur la poétique Regel doctrine classique;Bernard le Bovier de Fontenelle topicInterest Geschichte;topicInterest;Fontenelle;16571757 1688 verfassen Digression sur les anciens et les modern Überlegung Perraults weiterentwickel erstmals linear fortschrittsorientiertes;Geschichtsbewußtsein;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Fontenelle 16571757 1688 verfassen Digression sur les anciens et les modern Überlegung Perraults weiterentwickel erstmals linear fortschrittsorientiertes <e2>Geschichtsbewußtsein</e2><rel> vertreten greifen 1742 publizieren </rel><e1>Réflexions sur la poétique</e1> Regel doctrine classique;Réflexions sur la poétique about Geschichte;about;Réflexions sur la poétique;vertreten greifen 1742 publizieren;Geschichtsbewußtsein;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;<e1>Fontenelle</e1><rel>16571757 1688 verfassen Digression sur les anciens et les modern Überlegung Perraults weiterentwickel erstmals linear fortschrittsorientiertes Geschichtsbewußtsein vertreten greifen 1742 publizieren Réflexions sur la poétique Regel </rel><e2>doctrine classique</e2>;Bernard le Bovier de Fontenelle topicInterest doctrine classique;topicInterest;Fontenelle;16571757 1688 verfassen Digression sur les anciens et les modern Überlegung Perraults weiterentwickel erstmals linear fortschrittsorientiertes Geschichtsbewußtsein vertreten greifen 1742 publizieren Réflexions sur la poétique Regel;doctrine classique;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Fontenelle 16571757 1688 verfassen Digression sur les anciens et les modern Überlegung Perraults weiterentwickel erstmals linear fortschrittsorientiertes Geschichtsbewußtsein vertreten greifen 1742 publizieren <e1>Réflexions sur la poétique</e1><rel> Regel </rel><e2>doctrine classique</e2>;Réflexions sur la poétique about doctrine classique;about;Réflexions sur la poétique;Regel;doctrine classique;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Fontenelle betonen <e1>Perrault</e1><rel> Parallèle anciens et modern 16881697 </rel><e2>fortschrittsorientiertes Geschichts Literaturverständnis</e2> erneut Überlegenheit gegenwärtig Epoche zeitgenössisch Literatur Antike zeigen;Charles Perrault topicInterest Fortschritt;topicInterest;Perrault;Parallèle anciens et modern 16881697;fortschrittsorientiertes Geschichts Literaturverständnis;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Fontenelle betonen Perraultin <e1>Parallèle anciens et modernes</e1><rel> 16881697 </rel><e2>fortschrittsorientiertes Geschichts Literaturverständnis</e2> erneut Überlegenheit gegenwärtig Epoche zeitgenössisch Literatur Antike zeigen;Parallèle des anciens et des modernes about Fortschritt;about;Parallèle anciens et modern;16881697;fortschrittsorientiertes Geschichts Literaturverständnis;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Fontenelle betonen <e1>Perrault</e1><rel> Parallèle anciens et modern 16881697 fortschrittsorientiertes </rel><e2>Geschichts Literaturverständnis</e2> erneut Überlegenheit gegenwärtig Epoche zeitgenössisch Literatur Antike zeigen;Charles Perrault topicInterest Geschichte;topicInterest;Perrault;Parallèle anciens et modern 16881697 fortschrittsorientiertes;Geschichts Literaturverständnis;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Fontenelle betonen Perrault <e1>Parallèle anciens et modernes</e1><rel> 16881697 fortschrittsorientiertes </rel><e2>Geschichts Literaturverständnis</e2> erneut Überlegenheit gegenwärtig Epoche zeitgenössisch Literatur Antike zeigen;Parallèle des anciens et des modernes about Geschichte;about;Parallèle anciens et modern;16881697 fortschrittsorientiertes;Geschichts Literaturverständnis;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Fontenelle betonen <e1>Perrault</e1><rel> Parallèle anciens et modern 16881697 fortschrittsorientiertes Geschichts </rel><e2>Literaturverständnis</e2> erneut Überlegenheit gegenwärtig Epoche zeitgenössisch Literatur Antike zeigen;Charles Perrault topicInterest Literatur;topicInterest;Perrault;Parallèle anciens et modern 16881697 fortschrittsorientiertes Geschichts;Literaturverständnis;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Fontenelle betonen Perrault <e1>Parallèle anciens et modernes</e1><rel> 16881697 fortschrittsorientiertes Geschichts </rel><e2>Literaturverständnis</e2> erneut Überlegenheit gegenwärtig Epoche zeitgenössisch Literatur Antike zeigen;Parallèle des anciens et des modernes about Literatur;about;Parallèle anciens et modern;16881697 fortschrittsorientiertes Geschichts;Literaturverständnis;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Ausdruck rational <e2>Ästhetik</e2><rel> französisch Klassik gerichtet Kunstverständnisses </rel><e1>Réflexions critiques sur la poésie et la peinture</e1> 1719 Abbe Dubos 16701742 ästhetisch Wert Schöne subjektiv Geschmacksurteil Betrachter Kunstwerkes festmachen;Réflexions critiques sur la poésie et la peinture about Ästhetik;about;Réflexions critiques sur la poésie et la peinture;französisch Klassik gerichtet Kunstverständnisses;Ästhetik;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Ausdruck rational Ästhetik französisch Klassik gerichtet <e2>Kunstverständnisses</e2><rel> </rel><e1>Réflexions critiques sur la poésie et la peinture</e1> 1719 Abbe Dubos 16701742 ästhetisch Wert Schöne subjektiv Geschmacksurteil Betrachter Kunstwerkes festmachen;Réflexions critiques sur la poésie et la peinture about Kunst;about;Réflexions critiques sur la poésie et la peinture;;Kunstverständnisses;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Ausdruck rational <e2>Ästhetik</e2><rel> französisch Klassik gerichtet Kunstverständnisses Réflexions critiques sur la poésie et la peinture 1719 Abbe </rel><e1>Dubos</e1> 16701742 ästhetisch Wert Schöne subjektiv Geschmacksurteil Betrachter Kunstwerkes festmachen;Jean-Baptiste Dubos topicInterest Ästhetik;topicInterest;Dubos;französisch Klassik gerichtet Kunstverständnisses Réflexions critiques sur la poésie et la peinture 1719 Abbe;Ästhetik;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Ausdruck rational Ästhetik französisch Klassik gerichtet <e2>Kunstverständnisses</e2><rel> Réflexions critiques sur la poésie et la peinture 1719 Abbe </rel><e1>Dubos</e1> 16701742 ästhetisch Wert Schöne subjektiv Geschmacksurteil Betrachter Kunstwerkes festmachen;Jean-Baptiste Dubos topicInterest Kunst;topicInterest;Dubos;Réflexions critiques sur la poésie et la peinture 1719 Abbe;Kunstverständnisses;nan;nan;nan;nan
