Autor;Titel;Passage;Aussage;Code des Typs;E1;Relation;E2;POST;Seite;Annotator/in;Nr
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Dieser Literaturstreit ist 1687 anläßlich des von <e1>Charles Perrault</e1> (1628-1703) in der Académie française vorgetragenen Gedichts „Le siècle de Louis le Grand“ entbrannt, weil Perrault darin erstmalig die Überlegenheit der Epoche des Sonnenkönigs gegenüber derjenigen des Augustus herausstellt.;Charles Perrault topicInterest Barock;topicInterest;Charles Perrault;nan;Not Found;ND;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Dieser Literaturstreit ist 1687 anläßlich des von Charles Perrault (1628-1703) in der Académie française vorgetragenen Gedichts „<e1>Le siècle de Louis le Grand</e1>“ entbrannt, weil Perrault darin erstmalig die Überlegenheit der Epoche des Sonnenkönigs gegenüber derjenigen des Augustus herausstellt.;Le siècle de Louis le Grand about Barock;about;Le siècle de Louis le Grand;nan;Not Found;ND;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Auch <e1>Fontenelle</e1><rel>(1657-1757), der in seiner 1688 verfaßten „Digression sur les anciens et les modernes“ die Überlegungen Perraults weiterentwickelt und erstmals ein lineares, </rel><e2>fortschrittsorientiertes Geschichtsbewußtsein</e2> vertritt, greift in seinen erst 1742 publizierten „Réflexions sur la poétique“ die Regeln der doctrine classique an.;Bernard le Bovier de Fontenelle topicInterest Fortschritt;topicInterest;Fontenelle;(1657-1757), der in seiner 1688 verfaßten „Digression sur les anciens et les modernes“ die Überlegungen Perraults weiterentwickelt und erstmals ein lineares, ;fortschrittsorientiertes Geschichtsbewußtsein;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Auch Fontenelle (1657-1757), der in seiner 1688 verfaßten „<e1>Digression sur les anciens et les modernes</e1><rel> die Überlegungen Perraults weiterentwickelt und erstmals ein lineares, </rel><e2>fortschrittsorientiertes Geschichtsbewußtsein</e2> vertritt, greift in seinen erst 1742 publizierten „Réflexions sur la poétique“ die Regeln der doctrine classique an.;Digression sur les anciens et les modernes about Fortschritt;about;Digression sur les anciens et les modernes;die Überlegungen Perraults weiterentwickelt und erstmals ein lineares,;fortschrittsorientiertes Geschichtsbewußtsein;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Auch <e1>Fontenelle</e1><rel>(1657-1757), der in seiner 1688 verfaßten „Digression sur les anciens et les modernes“ die Überlegungen Perraults weiterentwickelt und erstmals ein lineares, fortschrittsorientiertes </rel><e2>Geschichtsbewußtsein</e2> vertritt, greift in seinen erst 1742 publizierten „Réflexions sur la poétique“ die Regeln der doctrine classique an.;Bernard le Bovier de Fontenelle topicInterest Geschichte;topicInterest;Fontenelle;(1657-1757), der in seiner 1688 verfaßten „Digression sur les anciens et les modernes“ die Überlegungen Perraults weiterentwickelt und erstmals ein lineares, fortschrittsorientiertes ;Geschichtsbewußtsein;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Auch Fontenelle (1657-1757), der in seiner 1688 verfaßten „Digression sur les anciens et les modernes“ die Überlegungen Perraults weiterentwickelt und erstmals ein lineares, fortschrittsorientiertes <e2>Geschichtsbewußtsein</e2><rel>vertritt, greift in seinen erst 1742 publizierten „</rel><e1>Réflexions sur la poétique</e1>“ die Regeln der doctrine classique an.;Réflexions sur la poétique about Geschichte;about;Réflexions sur la poétique;vertritt, greift in seinen erst 1742 publizierten „;Geschichtsbewußtsein;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Auch <e1>Fontenelle</e1><rel>(1657-1757), der in seiner 1688 verfaßten „Digression sur les anciens et les modernes“ die Überlegungen Perraults weiterentwickelt und erstmals ein lineares, fortschrittsorientiertes Geschichtsbewußtsein vertritt, greift in seinen erst 1742 publizierten „Réflexions sur la poétique“ die Regeln der </rel><e2>doctrine classique</e2> an.;Bernard le Bovier de Fontenelle topicInterest doctrine classique;topicInterest;Fontenelle;(1657-1757), der in seiner 1688 verfaßten „Digression sur les anciens et les modernes“ die Überlegungen Perraults weiterentwickelt und erstmals ein lineares, fortschrittsorientiertes Geschichtsbewußtsein vertritt, greift in seinen erst 1742 publizierten „Réflexions sur la poétique“ die Regeln der ;doctrine classique;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Auch Fontenelle (1657-1757), der in seiner 1688 verfaßten „Digression sur les anciens et les modernes“ die Überlegungen Perraults weiterentwickelt und erstmals ein lineares, fortschrittsorientiertes Geschichtsbewußtsein vertritt, greift in seinen erst 1742 publizierten „<e1>Réflexions sur la poétique</e1><rel> die Regeln der </rel><e2>doctrine classique</e2> an.;Réflexions sur la poétique about doctrine classique;about;Réflexions sur la poétique;die Regeln der;doctrine classique;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Wie Fontenelle betont <e1>Perrault</e1><rel>in dem „Parallèle des anciens et des modernes“ (1688-1697) ein </rel><e2>fortschrittsorientiertes Geschichts- und Literaturverständnis</e2>, das erneut die Überlegenheit der gegenwärtigen Epoche und der zeitgenössischen Literatur der Antike gegenüber zeigt.;Charles Perrault topicInterest Fortschritt;topicInterest;Perrault;in dem „Parallèle des anciens et des modernes“ (1688-1697) ein ;fortschrittsorientiertes Geschichts- und Literaturverständnis;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Wie Fontenelle betont Perraultin dem „<e1>Parallèle des anciens et des modernes</e1><rel>“ (1688-1697) ein </rel><e2>fortschrittsorientiertes Geschichts- und Literaturverständnis</e2>, das erneut die Überlegenheit der gegenwärtigen Epoche und der zeitgenössischen Literatur der Antike gegenüber zeigt.;Parallèle des anciens et des modernes about Fortschritt;about;Parallèle des anciens et des modernes;(1688-1697) ein;fortschrittsorientiertes Geschichts- und Literaturverständnis;nan;nan;nan;nan
